name,email,company,title,industry
Dr. Michael Chen,mchen@stmaryshospital.org,St. Mary's Health System,Chief Medical Information Officer,Healthcare Technology
Sarah Williams,swilliams@innovhealth.com,InnovHealth Solutions,VP of Digital Transformation,Healthcare Technology
Dr. James Rodriguez,jrodriguez@citymedical.edu,City Medical Center,Director of Clinical Innovation,Healthcare
Lisa Thompson,lthompson@healthtech.ai,HealthTech AI,CEO,Digital Health
Robert Kim,rkim@medicore.com,MediCore Systems,CTO,Healthcare Technology
Dr. Amanda Foster,afoster@regionalhospital.org,Regional Hospital Network,Chief Innovation Officer,Healthcare
David Park,dpark@healthventures.com,Health Ventures Capital,Principal,Healthcare Investment
Dr. Jennifer Liu,jliu@medschool.edu,University Medical School,Director of Health Informatics,Healthcare Education
Mark Anderson,manderson@digitalhealth.com,Digital Health Solutions,VP of Product,Digital Health
Dr. Patricia Wong,pwong@childrenshospital.org,Children's Hospital,Pediatric Informatics Director,Healthcare
Alex Thompson,athompson@aimedtech.com,AiMed Technologies,Machine Learning Engineer,Healthcare Technology
Dr. Kevin Martinez,kmartinez@cardiocenter.org,Advanced Cardiology Center,Director of Telemedicine,Healthcare
Rachel Green,rgreen@healthanalytics.com,Health Analytics Corp,Data Science Manager,Healthcare Analytics
Dr. Steven Brown,sbrown@emergencymed.org,Emergency Medicine Associates,Chief Medical Officer,Healthcare
Nicole Davis,ndavis@patientcare.ai,PatientCare AI,Product Manager,Digital Health
Dr. Thomas Wilson,twilson@orthopedics.med,Orthopedic Specialists Group,Orthopedic Surgeon,Healthcare
Maria Garcia,mgarcia@healthsystems.com,Integrated Health Systems,IT Director,Healthcare Technology
Dr. Christopher Lee,clee@neurology.edu,Neurology Research Institute,Research Director,Healthcare Education
Jennifer Adams,jadams@meddevice.com,MedDevice Innovations,Regulatory Affairs Manager,Medical Devices
Dr. Daniel Clark,dclark@familymed.org,Family Medicine Clinic,Family Physician,Healthcare
